lemma	top	first_tag
كيمياء	Y	Y1
قافلة	M	M3
وهم	A	A5.2
ٱستشاري	S	S8+/S2mf
دوائي	B	B3
فائق	A	A1.7
صحبة	I	I2.1/S5+c
تناسب	Z	Z99
أسترالي	Z	Z2/S2mf
حفرة	O	O2
ٱحتضن	S	S3.2
ثنائي	S	S5
طرابلس	Z	Z99
مايو	Z	Z1f
أيد	S	S8
ٱمتلأ	Z	Z99
حسب-	Y	Y2
كربون	O	O1.1
مؤلم	B	B2
فيزا	Q	Q1.2
خفف	N	N5-/A2.1
هيا	I	I2.2/H1
ٱزدهار	I	I1.1
صفر	N	N1
منخفض	N	N3.7
أنور	Z	Z99
تسوية	M	M7
مال-	O	O4.2
مساواة	A	A6.1
معتمر	Z	Z99
مرحوم	L	L1-/S2mfc
ٱنعكاس	X	X3.4
سويدي	Z	Z99
مطبوع	Q	Q1.2
ٱنطبق	Z	Z99
فتق	O	O4.2
عون	S	S8
تعويض	S	S8
ٱرتد	A	A2.1
قيامة	S	S9
بروفسور	P	P1/S2mf
مكاتب	Q	Q4.2/S2mf
مؤهل	A	A1.2+/I3.2
نحلة	A	A9
هندسي	Y	Y1
توتر	E	E6
نهوض	S	S7.1+/A2.1
أشعر	Q	Q2.1
عروض	Z	Z99
صدى	X	X3.2
شق	A	A5.1
حرمان	A	A9
بطيء	N	N3.8
أطل	M	M6
ختم-	N	N5.1
كتابي	Q	Q1.2
محدث	T	T3
عقيد	G	G3/S7.1+/S2mf
عي	X	X9.1
أمية	Q	Q3
يسار	M	M6
خاطب	H	H4
عزز	S	S1.2.5+/A2.1
رفقة	I	I2.1/S5+c
أظل	O	O4.3
قطار	M	M3fn
موافق	A	A6.1
خزف	C	C1
توفى	O	O2
حذاء	Z	Z5
شبهة	A	A10
بث-	O	O4.3
ٱستفتاء	G	G1.2
مبرر	A	A2.2
أرق	Z	Z99
ٱدعاء	Q	Q2.2/A5.2
أولى	A	A9
ضر	S	S4/N5
هدية	A	A9
سل	M	M2
ملاريا	B	B2
ماجستير	S	S7.1+/S2.2m
أبقى	A	A9
قرد	L	L2mfn
ٱنبعاث	X	X5.2
غنائي	K	K2
رطوبة	O	O1.2
رصاص	S	S7.1
جيب	B	B5
ديك	Z	Z1m
ٱستيراد	I	I2.2/M2
مرموق	A	A13.3
بحريني	Z	Z99
ذئب	L	L2mfn
وقاية	A	A1.3
ألبس	B	B5
خسر-	X	X9.2
متحرك	M	M1
باطن	M	M6
سحري	S	S9
توعية	Q	Q2.2
سلبية	Z	Z99
آر	M	M7
إسكندرية	Z	Z1f
ٱنفعال	E	E1
فاعلية	X	X9.2
تسلم	A	A9
محاربة	G	G3
سب-	S	S1.2.4-/Q2.2
تقوية	S	S1.2.5+/A2.1
ٱندفع	Z	Z99
هم-	X	X7
تقوى	G	G2.2
مل-	Z	Z99
فاكهة	F	F1
ملتقى	T	T1.2
رحال	M	M1
مبشر	Q	Q2.2/S2mf
مفروم	M	M6
مصحف	N	N3.4
مجان	S	S6
تشويه	A	A2.1
جليل	T	T3
كذا	Z	Z5
روماني	Z	Z2
ٱمتصاص	O	O4.1
حفر	A	A1.1.1
حفيد	S	S4m
سرق-	G	G2.1-/A9
تفجير	A	A1.1.1
عرق	L	L3
نوعية	A	A6.2
حارة	N	N1
ثدي	B	B1
إبطال	A	A10
أنفق	I	I1.2
بدر	Z	Z99
يونيسكو	Z	Z3
مستحيل	A	A7
ٱقتراح	Q	Q2.2
عثمان	Z	Z1m
نهي	F	F2
آه	Z	Z4
عقارب	A	A9
تأخر	Z	Z99
كثافة	N	N5
تعيين	S	S7.1
ساحر	S	S9/S2mf
ضئيل	N	N3.2
غاضب	E	E3
مركبة	M	M3fn
أسوأ	A	A5.1
عزف	K	K1
مفروش	H	H5
بوش	Z	Z3c
بأس	A	A5.1
ٱبتسامة	E	E4.1
لعبة	X	X5.2
ميداني	F	F4
مبني	H	H1
فصل-	A	A6.1
فصيل	B	B1
عبث	K	K4
عمرو	Z	Z99
إيقاف	T	T2
خالق	A	A1.1.1/S2mf
سيل	N	N5
أوقف	G	G2.1
فريضة	Z	Z99
مدخل	M	M7
متنبي	A	A7
أعرب	A	A4.2
ٱنتظام	S	S7.1+/Q2.2
نظافة	O	O4.2
ثمانون	N	N1
تراثي	T	T1.1.1
حبل	O	O2
ٱنفتح	Z	Z99
بذر	F	F1
متبادل	S	S1.1.2
عجز-	Z	Z99
شهري	N	N6
كلب	L	L2mfn
إنهاء	T	T2
محا-	A	A1.1.2
ليس-	Z	Z99
رقة	B	B1
خلافة	N	N4
بستان	L	L3/H3
كلا	Z	Z99
عرضة	X	X7
موطن	H	H1
مجاني	S	S6
شرح-	Q	Q2.2/A7
أثاث	H	H5
تجريبي	G	G2.1
لويس	Z	Z1m
ذوبان	T	T2
زغلول	Z	Z99
ديانة	S	S9
ساق	B	B1
ٱستعان	Z	Z99
وفي	S	S6
عظمة	O	O4.2
طاولة	H	H5
عضوي	L	L1
حافل	N	N5.1
محفوظ	S	S8
مفاوضة	Q	Q2.2
تعداد	N	N2
غوص	M	M4
سماح	S	S7.4
كبيسي	Z	Z99
تنموي	A	A2.1
بت	M	M7
أحضر	M	M2
ٱزدياد	N	N5+/A2.1
جاذبية	O	O4.2
آد-	A	A12
إي	Z	Z5
سارع	N	N3.8
ثار-	G	G2.1
ظ	Z	Z99
سويسري	Z	Z2
تحسن	A	A5.1+/A2.1
أتقن	S	S7.1+/S2.2m
تسلل	M	M1/A10
أندلس	Z	Z2
ٱختفاء	A	A10
جراء	Z	Z99
معادلة	O	O4.1/B1
سكاني	H	H4
تره-	Z	Z99
ستارة	B	B5
ٱصطدم	A	A1.1.2
داود	Z	Z1m
ٱمتحان	P	P1
مناضل	G	G3/S2mf
مريح	E	E3
خطيب	Q	Q2.2/S2mf
عارض	S	S8-/E2
برى	O	O1.1
خاطئ	A	A5.3
ممتاز	A	A5.1
عز-	Z	Z99
جائز	G	G2.1
تداعي	S	S5+c
أصعب	N	N5
حياتي	L	L1
علاوة	N	N5+/A2.1
وباء	B	B2
ٱحتياط	A	A9
مسح	X	X2.4
سمعة	I	I3.2
خطط	X	X7
أبيه	Z	Z99
كرر	Q	Q4.3/N6
بابوي	Z	Z99
عاقب	G	G2.1
شكر	S	S1.2.4
خلاص	S	S8
نفقة	I	I1.2
أنصار	S	S8+/S2mf
قمح	F	F1
أورد	T	T1.1.2
مطروح	M	M6
جانبي	A	A4.1
محسن	S	S1.2.2-/S2mf
ضوئي	W	W2
صال-	E	E3
جني	F	F4
جر	M	M2
منظور	X	X4.1
حرس	A	A15+/I3.2/S2mf
ضريبة	I	I1.1/G1.1
حصيلة	A	A2.2
جول	M	M1
حارب	S	S8
صدمة	E	E5
جلوس	M	M8
ٱستبدال	A	A2.1
ٱنقلاب	G	G1.2
علة	B	B2
صدفة	A	A1.4
معتاد	A	A6.2
عرس	S	S4
أوصى	Q	Q2.2
حساس	X	X2.5+/E1
جرأة	E	E5+/S1.2
نفي	Q	Q2.2/Z6
معوق	S	S8
قدوم	E	E5
جل	A	A5.1
قصص	A	A1.1.1
مخطط	X	X7
إمبراطور	S	S7.1+/S2mf
ربا	N	N3.2+/A2.1
شرعية	G	G2.2
مستعد	O	O4.1
شجر	L	L3
أوقع	A	A2.2/E4.1
مقارن	A	A6
فيزياء	Y	Y1
نبيل	G	G2.2
تشريعي	G	G2.1
لذة	E	E4.2
طاهر	O	O4.2
مراقب	X	X3.4/S2mf
شاق	O	O4.5
مشتق	A	A2.2
مالكوم	Z	Z1m
إنجيل	S	S9/Q4.1
رت	Z	Z99
ٱستشراق	Z	Z99
توافر	Z	Z99
مألوف	A	A6.2
خلفية	T	T1.1.1
ترميم	A	A2.1
فرعوني	Z	Z99
تدفق	A	A1.1.1
ريش	L	L2
دنيوي	X	X2.2/S1.1.1
هاري	A	A2.1
تقارب	Z	Z99
لاجئ	M	M1/S2mf
دافئ	O	O4.6
إسماعيل	Z	Z99
أهدى	Q	Q2.1
مريم	Z	Z1f
أكل	F	F1
تخلي	S	S7.1
تراكم	N	N5
كنز	I	I1.1
أرضي	W	W3
بينة	A	A15
دخان	O	O1.3
علمانية	Z	Z99
قدر-	Q	Q2.2
ٱطلع	X	X2.4
حقب	Z	Z99
نسيان	S	S2.1/X2.2
مرفق	A	A1.2
ثمين	I	I1.3
الٱثنان	Z	Z5
شورى	Q	Q2.1
ٱنفتاح	A	A10
تشوه	A	A2.1
مزارع	F	F4/S2mf
يدوي	A	A1.1.1
أكسيد	O	O1
ساحلي	W	W3/M4
ٱستيقظ	Z	Z99
دهش	X	X2.6
أخاف	E	E5
صمم	Z	Z99
زيد	Q	Q3
ترخيص	G	G1.1/Q1.2
زهور	L	L3
مردود	I	I1.1
ضحك	E	E4.1+/X3.2
موازنة	I	I1
طري	T	T3
ضجيج	X	X3.2
بشرى	Z	Z99
رفيق	S	S3.1/S2mf
تعددية	N	N5
كوكب	W	W1
ٱفتراض	X	X2.1
سوداني	Z	Z2/S2mf
صبغة	O	O4.3
تدخين	F	F3
تمسك	A	A1.7
سماد	B	B1
سالم	A	A7
عبقرية	X	X9.1+/A6.2
ماهر	X	X9.1
مصباح	O	O2/W2
تواضع	S	S1.2.3
عشاء	F	F1
عمري	T	T3
كيس	O	O2
ملم	Z	Z99
هدى-	S	S8
شيخوخة	S	S7.1
يتيم	S	S4-/S2mf
تدبير	Q	Q2.2
خيار	X	X7
شتر-	Z	Z99
وجوب	S	S6
مقاوم	S	S7.3+/S2mf
لت-	S	S5+c
قبلة	S	S3.2
طارئ	A	A11.1
زعم-	Q	Q2.2/A5.2
حنان	X	X2.5+/E1
لت	Q	Q2.1
حريص	X	X5.2
طائف	M	M1
ٱفتقد	S	S2.1f
محتاج	X	X7
ٱعترض	Z	Z99
قياسي	N	N5.2
ختام	X	X6
كاثوليكي	Z	Z99
ثر	O	O1.2
متجدد	A	A5.1+/A2.1/H1
معجزة	S	S9
بدانة	O	O4.2
خاضع	S	S7.1
وهر-	E	E5
إمامي	S	S7.1
هنالك	Z	Z5
قومية	G	G1.2/M7
نوبة	E	E3
ٱستهلاكي	I	I2.2/S2mf
توصيل	A	A2.2
قبرص	Z	Z2
جلدي	Z	Z99
بطء	N	N3.8
إنتاجي	A	A1.1.1
مد-	N	N3.3
تقويم	A	A5.1
شرب-	F	F2
ٱستمد	Z	Z99
عقلاني	S	S1.2.6
عائلي	S	S4c
خصوصي	A	A10
تحذير	X	X2.2+/A15
بيد	Z	Z5
شاهدة	A	A15
شد	N	N5+/A2.1
تدين	S	S9
ٱنتاب	E	E6
عجب	S	S7.2
هيمنة	X	X2.4
بيزنطي	Z	Z2/T1.1.1
إقرار	S	S7.4
طاغي	S	S7.1+/S2mf
ٱنفجر	A	A1.1.1
أتعب	E	E6
ركاب	O	O2
فول	F	F1
تطبيقي	A	A1.5.2
جذاب	O	O4.2
ٱنقسم	Z	Z99
قصدير	Z	Z99
جد-	Z	Z99
طاعة	S	S7.1
مجدد	T	T2+/A2.1
متتالي	N	N4
مستقر	A	A2.1
ٱعتلال	B	B2
تباين	A	A6.1
عابد	S	S9
عباسي	Z	Z99
ريف	G	G1.1c
أضاء	W	W2
ران-	A	A9
تتر	Z	Z99
ٱرتكز	Z	Z99
ركود	A	A2.1
طابور	O	O2
هدأ-	N	N5-/A2.1
قارن	A	A6
تأويل	Q	Q2.2/A7
أحل	S	S7.4
نشرة	Q	Q2.2
محقق	X	X2.4/S2mf
شوقي	Z	Z99
شوط	A	A5.1+/A2.1
حميم	S	S1.2.1
حلي	B	B5
سور	H	H2
ممر	T	T1.2
فخر	E	E4.2+/S1.2
أشاع	A	A10
أوصل	A	A2.2
درب	M	M3
مسموع	X	X3.2
دارى	O	O4.4
سامي	X	X7.2
إيصال	A	A2.2
مول	I	I1
تحصيل	N	N3.8
وقائي	S	S8+/A15
عصير	F	F2
ٱشتراك	S	S5+c
كره-	E	E2
إنجليزية	Z	Z2
كرسي	H	H5
راتب	I	I1.1/I3.1
أبجدية	Q	Q3
غرابة	A	A6.2
خارطة	Q	Q1.2/W3
أرت	Q	Q2.1
ٱستلزم	X	X7
شق-	A	A6.1
تخلف	X	X9.1
بلوغ	M	M1
عزلة	A	A1.8
خاف-	E	E5
مرح	E	E4.1
غدة	B	B1
قادسية	Z	Z99
رجع	Z	Z99
شاي	F	F2
قاس-	N	N3.1
دب	L	L2mfn
سطحي	A	A4.2
حث-	S	S8
صون	A	A1.1.1
سرق	Z	Z99
ملفة	Z	Z99
بخاري	O	O1.3
معامل	N	N1
ٱستهلك	A	A1.5.1
إحباط	X	X9.2+/G3
تنافس	K	K1
إزاء	Z	Z5
ٱستعماري	Z	Z99
جاد-	A	A5.1+/A2.1
لعنة	S	S1.2.4-/Q2.2
جيولوجي	W	W3
ٱجتاح	G	G3
لعن-	S	S1.2.4-/Q2.2
تضخم	I	I1.3
يمني	Z	Z2/S2mf
لقاح	B	B3
مستقيم	O	O4.4
سلب	G	G2.1
عنق	B	B1
ودع	Z	Z99
بند	Q	Q4.2
دفعة	M	M2
متفرق	M	M1
صعد-	N	N5+/A2.1
محادثة	Q	Q2.2
مقدمة	T	T2
مقاول	I	I2.1/S2mf
سطر	O	O4.4
خلط	O	O1.1
تفرقة	A	A6.1
تشريح	Y	Y1
هد	A	A1.1.2
ٱختلط	O	O1.1
تلخص	Z	Z99
شب-	T	T2
تسعيني	T	T1.3
ف	Z	Z5
مستدام	T	T2
لخص	Q	Q2.2
فضيلة	G	G2.2
شبح	O	O4.4
مأزق	A	A12
فاصل	A	A7
مؤقت	T	T1.3
خزان	O	O2
ٱنسحاب	M	M2
تذكرة	Q	Q1.2
واحة	W	W3/L3
ٱلتحاق	M	M1
مقترح	Q	Q2.2
قرضاوي	Z	Z99
مناعة	B	B2
غائب	S	S1.1.3
أملى	S	S6
ملكة	S	S7.1+/S2.1f
سني	S	S9/S2mf
غض	T	T3
متابع	Z	Z5
دفتر	Q	Q1.2
أرأى	A	A8
تعبئة	A	A1.5.1
سيف	G	G3
مسير	S	S7.1+/S2mf
أكسجين	O	O1.3
فرن	O	O2/F1
أسير	G	G2.1/S2mf
تخيل	X	X2.1
مغامر	M	M1/X5.2+/S2mf
يأس	E	E4.1
إستاد	K	K5.1/H1
سيناء	Z	Z2
أقصر	N	N3.7-/A2.1
جدارة	S	S1.1.4
حرق	O	O4.6
زود	A	A9
صارم	A	A5.1
مقاطعة	S	S1.1.3
وسم-	Q	Q1.2
صعد	N	N3.2+/A2.1
حس	X	X3
حاسم	A	A11.1
قطرة	O	O1.2/N5
توصية	Q	Q2.2/S8
مصب	Q	Q2.1
ٱستقالة	A	A9
منصور	X	X9.2
متاع	A	A9
تصدر	S	S7.1
فائز	X	X9.2+/S7.3/S2mf
متوازن	A	A5.3
ضر-	A	A1.1.2
تفاهم	Z	Z99
أجر	I	I1.1
نقش	C	C1
مجلد	O	O4.6
جل-	Z	Z99
جلال	Z	Z99
راعى	X	X3.4
صوب	M	M6
صلاحية	A	A1.6
رسام	C	C1/S2mf
جرثوم	B	B2
طباعة	Q	Q1.2
مطبخ	F	F1/H2
طبعة	Q	Q1.2
عائق	S	S8
نيابي	A	A6.2
تثبيت	Z	Z99
وثيق	A	A7
ٱسترجع	A	A9+/N6
كاذب	A	A5.2-/S2mf
زين	O	O4.1
عيني	B	B1
فقرة	Q	Q3
شقيقة	S	S4f
ٱخترق	A	A1.1.1
مأمون	A	A5.1
مفعول	X	X5.2
قاسم	N	N2
كرامة	S	S7.2
سامبا	K	K1
حنجر	B	B1
لمة	O	O4.4
محلة	T	T1.3
حليب	F	F2
زائد	N	N5
ثور	L	L2mn
محكوم	S	S7.1
آق-	Z	Z99
مناخي	W	W4
مرارة	X	X3.1
أشهر	Q	Q2.2
حمى	S	S8+/A15
وجدان	E	E1
مطل	M	M6
مستوطن	M	M7/S2mf
أعاش	T	T2
ٱستشهد	Q	Q2.2
منجز	X	X9.2
إصرار	S	S7.1+/Q2.2
مقاتل	G	G3/S2mf
معصية	E	E3
عصابة	S	S5+c
ٱستبعد	X	X7
هضمي	F	F1/B1
لائحة	Q	Q1.2
هولاندا	Z	Z2
بصمة	Q	Q1.1/B1
عدا-	E	E3
بيولوجي	L	L1
صاخب	X	X3.2
ناسب	Z	Z99
فك	B	B1
سماوي	O	O4.2
دهن	O	O1.2
معمل	Y	Y1/H1c
أفرز	X	X7+/A5.1
برهان	A	A15
كهف	W	W3
باكر	T	T4
سويسرا	Z	Z2
يونان	Z	Z2
عقائدي	A	A2.1-/X2.1
ٱلتقاط	H	H2
حاصر	G	G3
جنسية	G	G1.1c
تماس	Z	Z99
نجاة	S	S8
موديل	A	A5.1
بكاء	B	B1/E4.1
عذب	X	X3.1
ٱنسحب	M	M2
أصالة	A	A5.4
توج	B	B5/S7.1
إشكالي	A	A12
إخلاص	S	S6+/S1.2
سماع	X	X3.2
زقاق	H	H3
جفن	B	B1
عتيق	T	T3
جليد	A	A2.1
هاوي	I	I3.2
شهوة	X	X7
كد-	M	M3/O2
وفى-	X	X9.2
ٱختزن	I	I2.2/H1c
غربة	M	M2/G1.2
جذري	N	N5+/A2.1
شكوى	Q	Q2.2/E2
تفاوض	Q	Q2.2
ٱستعد	Z	Z99
راجع	Q	Q1.1/S8
سلالة	S	S4c
تخطى	E	E3
ثراء	I	I1.1
نواة	B	B1
إعمار	H	H1
حظر	F	F2
منشود	A	A1.1.1
جون	W	W3/M4
كف	T	T2
توضيح	Q	Q2.2/A7
سكري	B	B2
إشاعة	A	A1.1.1
مهاجم	G	G2.1-/S2mf
طلاء	Z	Z99
حافز	X	X5.2
ميثاق	G	G3
فراش	H	H5
دير	S	S9/H1
منفصل	A	A6.1
ليمون	O	O4.3
جي	Z	Z5
رباط	B	B5
أسكن	H	H1
أعان	S	S8
شابه	A	A6.1
صاح-	Q	Q2.2
مفضل	E	E2
غطس	M	M4
إبقاء	T	T2
ملموس	A	A11.2
تداول	A	A2.1
كن	H	H1/A10
عثور	A	A10
سويد	Z	Z2
ٱشتد	N	N5+/A2.1
جائر	S	S1.2
بركة	S	S8
جوفي	H	H2
رشيد	Z	Z1m
أخطأ	Z	Z99
زنجي	O	O4.3
جوع	F	F1-/B1
رفاهية	S	S8
محنة	E	E6
توقيت	X	X7+/T1
أغن	X	X3.2
متباين	A	A6.1
عجيري	Z	Z99
ٱعتدى	E	E3
برازيل	Z	Z2
دفء	O	O4.6
عناء	A	A12
ٱمتص	A	A1.1.1
ٱستضاف	S	S2mf
شغل	I	I3.1
هبط-	W	W3
حزين	E	E4.1
أشر-	Z	Z99
تمر	T	T1.2
رامز	Q	Q1.1
أسمنت	O	O1.1
حراء	Z	Z99
أذهب	N	N3.3
ناحل	N	N3.5
كري	O	O4.4
ٱكتفاء	N	N5.1
فسخ	A	A1.9
كينج	Z	Z99
عدوان	E	E3
ٱستعرض	Q	Q4
مراهق	T	T3-/S2mf
توالى	Z	Z99
طائفي	S	S9/A6.1
إبراز	A	A10
رتب	S	S7.1
بنغازي	Z	Z99
تونسي	Z	Z2/S2mf
آب	Z	Z1m
نمى-	N	N3.2+/A2.1
ٱختلاجة	B	B2
جريح	B	B2
حنين	X	X7
مراعاة	A	A6.1
قبضة	N	N5
نسب	S	S4
تفعيل	Z	Z99
أنتم	Z	Z8mf
ترسيخ	M	M4
هورمون	B	B1
ناشئ	N	N3.2+/A2.1
جرس	O	O2/X3.2
عائش	H	H4
عربية	Z	Z2/Q3
عاري	B	B5
رمزي	A	A6.2
مرونة	O	O4.5
بطاطا	Z	Z99
ٱحتكاك	M	M1
تعذيب	E	E3
متزوج	S	S4
ٱمتلاك	A	A9
إحسان	S	S8+/S5+c
قوس	O	O4.1/B1/S7.2
أباح	A	A10
خطبة	Q	Q2.1
أوركسترا	K	K2/S5c
مثابة	A	A13.4
توافق	A	A6.1
دمية	K	K6
ساوى	H	H5
تكفير	S	S9
شرفة	H	H2
وافد	Q	Q2.1/S2mf
صيدلي	B	B3/S2mf
خراب	A	A1.1.2
مسجل	Q	Q1.2/G1.1
هامش	N	N5
شهية	F	F1/B1
مئوي	N	N1
ليون	Z	Z1m
زاد	O	O2
متأثر	A	A2.2
مشوار	M	M3fn
مثمر	I	I1.1
والى	Z	Z99
ألغى	T	T2
تجاهل	X	X5.1
حضرة	M	M6
صياد	K	K5.1/S2mf
هزيم	W	W4
زاءوق	O	O1.2
كتف	B	B1
عيسى	Z	Z1m
طبع-	Q	Q1.2
نضج	O	O4.1/L3/F1
شافعي	Z	Z99
فلك	M	M7/W1
فل	O	O1.1
برازيلي	Z	Z2
نسج-	B	B5
قص-	O	O4.1
صف-	S	S7.1
زوجي	S	S4
مغطى	A	A10
ٱختص	Q	Q2.2
مغني	K	K2/S2mf
آخذ	A	A9
حماسة	E	E5
فندقة	Z	Z99
خضار	F	F1/S2mf
أذى	B	B2
ٱنتقام	E	E3
ليت	Z	Z4
مقاطع	S	S1.1.3-/S2mf
آثر	E	E2
سطا-	E	E3
هواية	B	B3
جبلي	W	W3
عاجل	A	A11.1
ناب	B	B1
حريق	O	O4.6
هيأ	A	A1.5.1
باهر	A	A5.1
كذب	M	M1
صنعاء	Z	Z1f
كردي	Z	Z2
ٱحتياطي	A	A7
توليد	A	A1.1.1
مدعو	Q	Q2.2
قائمة	S	S8
ضال	A	A5.3
حيا	S	S7.2+/Q2.2
شاسع	N	N3.7
دارس	P	P1/S2mf
إنس	S	S2mfc
نأى-	Z	Z99
مسابقة	K	K5.1
دوران	M	M1
إيه	Z	Z99
عفش	A	A9
مزيج	O	O1.1
تضامن	S	S5
سخرية	Q	Q2.2/S1.2.4
معروض	A	A10
ثبت	A	A7
منطقي	X	X2.1
صليب	E	E3
سمع	X	X3.2
قرض	I	I1.2
دق	A	A5.1
توراة	Z	Z99
ضياع	I	I1.2
تفرق	A	A6.1
رقص	K	K1
رعى-	S	S8+/A15
تألف	Z	Z99
مستلزم	Z	Z99
فوضى	A	A1.7
إغاثة	S	S8
زيات	Z	Z99
مؤدي	S	S7.1
ٱشترط	S	S6
صافي	N	N5
حيز	A	A1.7
تحرر	Z	Z99
كراهية	E	E2
وصية	Q	Q2.2/S8
ورك	O	O4.2
غرق	L	L1
حديدي	S	S1.2.5
نبوة	Z	Z99
تواجد	M	M6
متوافر	A	A3
ٱسود	Z	Z99
ورم	X	X3.2+/A2.1
خضرة	F	F1
ٱستكمال	X	X6
إخفاق	X	X9.2
طلع-	A	A8
يكون	Z	Z99
رص-	B	B3
ٱنفصال	A	A6.1
حلق	M	M1
منفرد	X	X5.2
يرموك	Z	Z99
جولان	Z	Z99
أسطوانة	O	O4.4
حليف	S	S3.1/S2mf
ٱستجواب	Q	Q2.2
جدا-	A	A9
حد-	X	X6
حلال	S	S7.4
إبعاد	M	M2/G1.1
برد	W	W4
ٱزدهر	I	I1.1
ترفيه	K	K1
تفادي	A	A1.9
فخم	A	A5.1
مصيبة	A	A1.1.2
حينئذ	Z	Z5
شرم	A	A5.1
فاطمة	Z	Z2
أساء	A	A1.1.2
ٱحتجاج	Q	Q2.2
تحفة	A	A9
كأنما	Z	Z5
اللي	Z	Z5
ود	E	E2
حرمة	S	S4f
فائض	N	N5.2
حاسة	A	A4.1
لهجة	E	E1
مسلك	M	M3
مرر	Z	Z99
ساخر	E	E4.1+/S2mf
حجي	A	A1.2
خوض	Z	Z99
رق-	Z	Z99
صيفي	T	T1.3
شرس	E	E3
فرط	N	N5.2
ناري	O	O4.6
عندئذ	Z	Z5
موهوب	Z	Z5
بقاع	O	O4.4
أدان	Q	Q2.2/E2
زكي	A	A5.4
بني	Z	Z99
جمركي	A	A6.2
تقى	G	G2.2
تعادل	B	B5
كسر	K	K1/T1.3
مضيف	N	N5+/A2.1
منبر	H	H5/S9
صرخة	Q	Q2.2/X3.2
عقدة	A	A12
مسعود	E	E4.1
تمهيد	A	A1.1.1
أغسطس	Z	Z1m
أبدأ	T	T2+/S2mf
متمرد	G	G3/S2mf
حشد	A	A1.5.1
إرجاع	M	M6
أحادي	N	N5
قريش	Z	Z99
جغرافيا	P	P1/W3
ٱنشغال	X	X5.1
محاول	X	X8
ٱبتلع	B	B1
متفق	A	A6.1
جعفر	Z	Z1m
خرافي	A	A5.2
حرفة	I	I2.2
مرعب	E	E5
معادي	S	S1.2.1
حي-	L	L1
معجم	Q	Q4.1
ٱستئصال	A	A1.1.2
عرقي	S	S5
تطرق	Q	Q2.2
قضائي	G	G2.1
أج-	B	B2-/O4.6
مرجعية	G	G1.1c
لمسة	X	X3.3
شرع-	T	T2
رافض	X	X7
مضاعفة	N	N5
مستمد	A	A9
أضعف	S	S7.1-/A2.1
لين	O	O4.5
إتقان	X	X9.1
كرم	S	S1.2.2
نقابة	I	I3.1/S5+c
سم-	E	E3-/O1
منسوب	A	A2.2/Q2.2
سند	S	S8
لظي-	Z	Z99
حصن	H	H1/G3
ٱستشارة	Q	Q2.1
عازف	K	K2/S2mf
بنجلاديش	Z	Z2
حامد	Z	Z99
مزود	I	I2.2/S2mfc
أجرة	I	I1.3
هرطقة	X	X2.1
طارئة	A	A1.4
عقدي	A	A2.1-/X2.1
طفرة	M	M1
تاه-	Z	Z99
تنظيف	B	B4
حلو	X	X3.1
شرير	A	A5.1
خفي	A	A10
معاني	E	E4.1
معبد	Z	Z99
تبرع	A	A9
مدون	N	N5.2
ذيل	L	L2
وظيفي	A	A1.5.2
طهران	Z	Z2
شدد	S	S1.2.5+/A2.1
بخار	O	O1.3
خلقي	A	A6.2
أيديولوجيا	X	X4.1
تعهد	A	A1.1.1
ٱست	B	B1
فلوريدا	Z	Z2
تحريك	X	X5.2
تحضير	A	A1.1.1
محرم	S	S7.4
ٱنحراف	A	A6.1
أحفور	W	W3
تلة	N	N5
فلاح	I	I1.1
تحريف	A	A2.1
فاضل	X	X9.1
مشابه	A	A6.1
طماطم	F	F1
شابة	Z	Z99
حط-	M	M1
رزق	I	I3.1
صحن	O	O2
سعودة	Z	Z99
ٱرتاح	E	E3
منظر	X	X4.1
فضة	O	O4.3
أوشك	A	A13.4
فرنجي	M	M6/S2mf
ليتر	Z	Z99
خوسيه	Z	Z99
ٱستوائي	W	W3
ٱصطحب	S	S3.1
أرد	N	N5
تحدد	Z	Z99
فارغ	N	N5
كاريبي	Z	Z2
وهب-	A	A9
رامي	X	X7
محظور	S	S7.4
تمكين	S	S8
عامي	E	E2
ٱستولى	S	S7.1
ماس	A	A11.1
شراكة	S	S5+c
عبدالوهاب	Z	Z99
ٱستيلاء	A	A9
مساند	S	S8
خرافة	S	S9
طغيان	S	S7.1
تجسيد	Q	Q1.1/A1.6
قلا-	F	F1
دلال	I	I2.2/S2mf
أشهد	Q	Q2.2
عارف	X	X2.2+/S2mf
مادام	Z	Z99
مأتى	T	T2
ليلى	Z	Z99
ياسر	Z	Z99
صير	A	A2.2
كندي	Z	Z2
تدريبي	P	P1
عبدالناصر	Z	Z99
مجتهد	X	X5.2+/S1.2
خريف	T	T1.3
شفافية	Q	Q1.2
أردني	Z	Z2/S2mf
ريادة	S	S7.1
ليطاني	S	S9
حائر	X	X2.5
كثيف	N	N5
بلغة	X	X9.1
سما-	Z	Z99
غواص	M	M4/S2mf
عد	N	N2
إغريقي	Z	Z2
تداخل	S	S1.1.3
مسلسل	N	N4
ثوري	T	T3
مولد	A	A2.2
واعي	X	X2.2
متناقض	A	A6.1
كثر-	Z	Z99
جنين	B	B2
ذري	Y	Y1
إنذار	X	X2.2+/A15
مح	Z	Z99
قديس	S	S9/S2mf
كرس	Q	Q2.2
منى	Z	Z99
موضح	A	A7+/Q2.2
فطر	L	L3
نحال	F	F4/L2/S2mf
ملحق	A	A1.7
إكراه	S	S7.1
فاخر	E	E4.2+/S1.2
رشد	G	G2.2
تكريم	S	S7.2
